Employee_ID,Age,Gender,Department,Position,Tenure,Performance_Rating,Salary,Recruitment_Source,Satisfaction_Score,Last_Promotion_Years,Work_Life_Balance,Overworked,Job_Satisfaction,Distance_From_Work,Commute_Time,Number_Of_Promotions,Turnover,Turnover_Description
EMP0001,60,Male,Marketing,Engineer,24,2,80818,Campus Recruitment,1.9,7,3,1,4,26,78,0,0,Retention
EMP0002,50,Male,Marketing,Specialist,28,2,59932,Campus Recruitment,4.5,4,4,0,2,26,30,3,0,Retention
EMP0003,36,Female,Finance,Analyst,18,4,36901,Job Board,3.7,0,1,0,5,18,86,3,0,Retention
EMP0004,64,Male,Finance,Manager,3,4,38597,Campus Recruitment,2.2,7,4,1,3,32,28,4,0,Retention
EMP0005,29,Female,Marketing,Manager,22,3,93909,Campus Recruitment,2.1,8,4,0,2,14,45,2,0,Retention
EMP0006,42,Female,Engineering,Specialist,6,5,102391,Job Board,3.9,9,1,0,3,47,80,4,1,Turnover
EMP0007,60,Male,Finance,Manager,27,3,114214,Internal Referral,4.9,1,1,0,3,3,82,1,0,Retention
EMP0008,40,Male,Sales,Engineer,27,5,38263,Job Board,2.4,8,4,0,3,1,79,1,1,Turnover
EMP0009,44,Male,Sales,Engineer,3,2,93293,Internal Referral,4.3,7,2,0,2,26,69,3,0,Retention
EMP0010,32,Female,Sales,Manager,21,1,55805,Job Board,3,6,5,1,5,24,54,3,1,Turnover
EMP0011,32,Male,Engineering,Engineer,11,3,41874,Job Board,4.3,2,5,0,1,49,39,4,1,Turnover
EMP0012,45,Female,Marketing,Manager,12,3,116402,Campus Recruitment,4.2,1,2,0,5,35,39,4,0,Retention
EMP0013,57,Female,Sales,Manager,2,5,44079,Job Board,3.7,6,1,0,2,14,17,0,1,Turnover
EMP0014,61,Female,Engineering,Manager,21,2,79850,Job Board,1.7,4,4,0,1,3,83,1,1,Turnover
EMP0015,45,Male,Finance,Specialist,11,2,102779,Internal Referral,4.2,5,5,1,1,13,40,4,0,Retention
EMP0016,24,Male,Marketing,Manager,1,5,39018,Campus Recruitment,4,3,4,0,1,47,54,2,0,Retention
EMP0017,43,Female,Finance,Specialist,23,2,79500,Internal Referral,3.9,1,2,1,4,14,52,0,0,Retention
EMP0018,23,Male,Engineering,Manager,1,4,42100,Internal Referral,3.7,8,4,0,2,21,52,4,1,Turnover
EMP0019,45,Male,Sales,Manager,26,1,87021,Campus Recruitment,2.6,2,2,0,4,26,82,3,0,Retention
EMP0020,51,Male,Sales,Manager,22,3,49800,Campus Recruitment,4.6,6,1,1,1,3,21,4,0,Retention
EMP0021,59,Female,Engineering,Engineer,8,1,93400,Campus Recruitment,4.4,7,2,0,4,40,44,3,0,Retention
EMP0022,23,Female,Sales,Specialist,0,3,59437,Job Board,2.4,1,2,0,4,4,33,3,0,Retention
EMP0023,42,Male,Marketing,Specialist,7,4,106537,Campus Recruitment,4.8,5,5,1,2,36,49,1,1,Turnover
EMP0024,54,Female,Engineering,Manager,22,2,76675,Campus Recruitment,3.6,7,4,0,3,43,47,1,1,Turnover
